Gene
ELMO2
EMILIN1
EN1
EP300
EPAS1
EPC1
EPHB1
EPM2A
EPN1
EPOR
EPS8
ERLIN2
ERRFI1
ETS1
ETS2
ETV6
EVI2A
EVI2B
EYA1
EYA2
EYA3
EYA4
F10
F2
F8
FAM78A
FARP1
FASN
FBN1
FBXO25
FBXW11
FCER1G
FCGR2A
FER
FES
FGD6
FGF1
FGF10
FGF16
FGF18
FGF19
FGF2
FGF20
FGF22
FGF3
FGF5
FGF8
FGF9
FGFR1
FGFR1OP2
FGFR2
FGFR3
FGFR4
FGR
FLI1
FLOT1
FLT1
FLT3
FOXA1
FOXJ1
FOXK1
FOXO3
FOXO4
FRAT1
FRS2
FUT7
FYN
GAB1
GAB2
GAB3
GABBR1
GABBR2
GADD45G
GAPT
GATA1
GATA2
GATA6
GLI1
GMFG
GNA11
GNAQ
GOLT1B
GORASP2
GRAP
GRAP2
GRB10
GRB14
GRB2
GRB7
GREM1
GSN
GSTP1
HAL
HEY1
HLA-C
HLX
HMGCS1
HMOX1
HNF1A
HNF4A
HOOK2
HPCA
HRAS
HRC
HSP90AA1
HSP90AB1
HSP90B1
HSPA9
HSPD1
HSPG2
HTR3C
HVCN1
IGLL1
IL10
IL17RA
IL1B
IL1R1
IL3RA
IL7R
INPP5D
INPP5J
INPP5K
INPPL1
INTU
IQGAP1
IRAK3
IRF1
IRF3
IRF8
ITGA11
ITGA5
ITGAV
ITGB1
ITGB1BP2
ITGB2
ITIH1
ITIH2
ITK
JAK1
JAK2
JAK3
JUN
KAT5
KDR
KHDRBS1
KHK
KIT
KITLG
KLB
KLHL12
KRAS
KRT15
KRT31
KRT34
KRTAP10-9
KRTAP12-3
LAIR1
LAPTM4B
LAT2
LCK
LCP2
LDOC1
LEF1
LGALS1
LGALS12
LGALS3
LGMN
LILRB2
LILRB4
LMO2
LPAR4
LRFN1
LRP1
LRP6
LRRC8C
LST1
LY86
LYL1
LYN
MAD2L1
MAF
MAGEA11
MAP1LC3A
MAP1LC3B
MAP1LC3C
MAPK1
MAPK11
MAPK12
MAPK14
MAPK3
MAPK8
MAPKAP1
MARCO
MATK
MAX
MDFI
MEF2C
MEF2D
MEIS1
MEOX2
MET
MFGE8
MGP
MLC1
MMP2
MMP9
MNDA
MPDZ
MRC2
MS4A3
MS4A6A
MSRB3
MTM1
MTMR3
MTMR4
MTOR
MUC1
MYB
MYC
MYCN
MYO18A
MYO1C
MYO1E
MYO1F
MYO1G
MYOF
NAA15
NCF4
NCK2
NCKAP1
NCKAP1L
NEBL
NEDD4
NEDD9
NF1
NFATC2
NFKB1
NFYA
NFYC
NIPSNAP3B
NKG7
NLRP3
NOG
NONO
NOS3
NPDC1
NPM1
NR0B2
NR3C1
NRAS
NRP1
NRP2
NTPCR
NTRK1
NXF3
ONECUT1
ORAI1
OTUD7B
P2RX1
P2RY2
P2RY8
PACSIN3
PAG1
PAK1
PAK2
PALLD
PAN3
PARVG
PAX6
PCDH18
PCDH19
PCOLCE
PDAP1
PDCD6
PDCD6IP
PDGFA
PDGFB
PDGFC
PDGFD
PDGFRA
PDGFRB
PDGFRL
PDK1
PDPK1
PEX5
PFN1
PGF
PGLS
PHLDB2
PIK3AP1
PIK3C2A
PIK3C2B
PIK3C3
PIK3CA
PIK3CB
PIK3CD
PIK3R1
PIK3R2
PIK3R3
PIK3R5
PIP4K2A
PIP4K2B
PIP4K2C
PIP5K1A
PIP5K1B
PIP5K1C
PITPNA
PLAUR
PLCB2
PLCE1
PLCG1
PLCG2
PLD4
PLK1
PLSCR1
PLXNA1
POU2F1
PPARA
PPARG
PPFIA3
PPIL2
PRAM1
PRDX2
PRKACB
PRKCA
PRKCB
PRKCD
PRKCE
PRKCQ
PRKCZ
PRL
PRLR
PROK2
PRPF4B
PRRT2
PRRX1
PRSS57
PRTN3
PTEN
PTK2
PTK2B
PTP4A1
PTP4A2
PTP4A3
PTPN1
PTPN12
PTPN13
PTPN14
PTPN18
PTPN2
PTPN21
PTPN22
PTPN23
PTPN3
PTPN4
PTPN5
PTPN6
PTPN7
PTPN9
PTPRA
PTPRB
PTPRC
PTPRD
PTPRE
PTPRF
PTPRG
PTPRH
PTPRJ
PTPRK
PTPRM
PTPRN2
PTPRO
PTPRQ
PTPRR
PTPRS
PTPRT
PTPRU
PTPRZ1
PXK
RAB11FIP1
RAB37
RAB5A
RAC1
RAF1
RALGDS
RAPGEF1
RASA1
RASA2
RASGRP1
RASGRP2
RASSF2
RCHY1
RCSD1
RECK
REL
RET
RFC1
RGS18
RHOA
RNASE2
RNASE3
RNASE6
RNASEH2B
RNPS1
ROCK1
ROCK2
RPL24
RPS14
RPS6KB1
RRAS
RUNX2
RYR1
S100A13
S100A2
S100A8
S100A9
S1PR1
S1PR2
S1PR4
SCFD1
SERP2
SERPINB10
SERPINI2
SF3B3
SGK1
SH2B1
SH2B2
SH2B3
SH2D2A
SH2D3C
SH3BP4
SH3KBP1
SH3PXD2A
SHC1
SHC2
SHC3
SHC4
SHF
SIAH1
SIGLEC7
SLA
SLA2
SLC22A16
SLC25A14
SLC46A1
SLC9A3R1
SLC9A3R2
SMAD4
SMURF1
SNAI2
SNCA
SNCAIP
SNX1
SNX2
SNX4
SOCS1
SOCS2
SOCS3
SOCS4
SOCS5
SOCS6
SOD1
SOS1
SOS2
SP1
SPHK1
SPINT2
SPNS3
SPRED1
SPRED2
SRC
SREBF1
SRPK1
SSH1
SSH2
SSH3
STAC3
STAP1
STAR
STAT1
STAT2
STAT3
STAT4
STAT5A
STAT5B
STAT6
STIM1
STK16
SUGT1
SYDE1
SYK
SYNC
TAF9
TBC1D5
TCEAL1
TEAD1
TEC
TFAP2A
TFAP2B
TFEC
TFRC
TGFB1
TGFBR2
TGIF1
TGM5
THOC5
THY1
TIFA
TIFAB
TIMP3
TJP1
TLR8
TMEM119
TMEM204
TNFAIP6
TNFSF10
TNFSF13B
TNK1
TNK2
TNNC1
TNS3
TP53
TPD52
TPTE
TPTE2
TRAF3IP1
TRAF4
TRIM24
TRIM29
TRIP13
TRIP6
TRPC3
TSPAN32
TSPYL4
TXK
TXNIP
TYK2
TYROBP
UBA5
UBA52
UBC
UBE2L6
UBE3C
UCP1
ULBP2
USP20
VAMP8
VAPB
VASN
VAV1
VAV3
VEGFA
VEGFB
VPREB1
VPS52
WASF1
WASF2
WASF3
WASL
WDR35
WDR74
WEE1
WNT5A
YES1
YWHAG
YY1
ZAP70
ZBTB34
ZDHHC23
ZEB1
ZEB2
ZHX2
ZMYM2
ZNF250
ZSCAN21
ZZEF1
